15 15
4 21  3 71  6 16  8 52  1 26  10 34  0 53  9 21  2 55  5 95  11 31  13 42  7 64  14 72  12 98
11 55  3 31  7 98  0 12  1 42  2 39  4 79  9 77  8 77  5 66  6 77  14 40  10 83  12 69  13 44
4 34  3 64  0 83  1 19  7 48  5 25  8 32  6 18  13 28  10 15  12 94  14 57  2 63  11 11  9 76
4 69  1 93  14 77  9 77  3 19  6 38  7 54  2 87  0 83  10 43  5 79  8 62  13 66  11 52  12 42
0 27  4 42  2 79  1 66  14 88  11 69  8 68  6 58  7 52  3 62  9 27  10 72  5 69  12 49  13 60
0 15  5 11  1 83  3 43  2 12  11 57  13 99  7 49  4 94  14 62  10 41  6 72  8 87  12 39  9 60
3 28  12 91  0 71  2 20  9 66  5 75  4 98  11 14  7 50  8 42  1 27  14 22  6 69  13 45  10 47
4 59  0 22  1 46  2 27  3 32  8 72  6 69  5 78  14 90  13 29  7 47  9 89  10 76  12 28  11 45
0 40  3 41  13 29  2 70  4 88  1 44  11 73  5 51  6 37  12 23  8 78  7 16  14 90  10 28  9 43
14 35  2 61  3 85  0 24  4 41  1 93  13 44  5 98  12 47  6 38  8 90  7 12  9 80  11 67  10 48
13 95  12 61  4 76  3 11  6 99  5 16  8 21  7 26  10 34  1 55  0 53  9 52  11 21  14 31  2 42
6 18  4 64  5 25  3 34  0 83  1 19  7 48  14 76  2 63  8 32  11 28  12 57  13 94  10 15  9 11
14 77  2 87  6 38  4 69  1 93  0 83  3 19  7 54  13 66  5 79  9 77  10 43  12 42  8 62  11 52
0 27  4 42  1 66  3 62  2 79  11 52  9 27  12 49  14 88  10 72  13 60  7 68  5 69  8 58  6 69
2 12  0 15  3 43  1 83  5 11  9 60  8 57  14 62  10 41  12 39  11 87  6 72  4 94  7 49  13 99
